,timestamp,x,y
0,0.0,-18.1,17.97
1,0.08,-17.75,17.56
2,0.16,-17.33,17.27
3,0.24,-16.88,16.82
4,0.32,-16.59,16.63
5,0.4,-16.15,16.2
6,0.48,-15.75,15.92
7,0.56,-15.37,15.51
8,0.64,-14.87,15.19
9,0.72,-14.59,14.88
10,0.8,-14.25,14.61
11,0.88,-13.88,14.25
12,0.96,-13.36,13.92
13,1.04,-12.95,13.5
14,1.12,-12.85,13.37
15,1.2,-12.13,12.83
16,1.28,-11.87,12.55
17,1.36,-11.47,12.19
18,1.44,-10.99,11.88
19,1.52,-10.8,11.66
20,1.6,-10.32,11.2
21,1.68,-9.81,10.87
22,1.76,-9.44,10.51
23,1.84,-9.2,10.25
24,1.92,-8.7,9.94
25,2.0,-8.21,9.78
26,2.08,-7.8,9.41
27,2.16,-7.47,9.07
28,2.24,-7.08,8.7
29,2.32,-6.67,8.47
30,2.4,-6.27,8.14
31,2.48,-5.77,7.68
32,2.56,-5.37,7.28
33,2.64,-5.16,7.08
34,2.72,-4.88,6.83
35,2.8,-4.35,6.38
36,2.88,-4.15,6.2
37,2.96,-3.61,5.73
38,3.04,-3.23,5.4
39,3.12,-3.01,5.23
40,3.2,-2.69,4.89
41,3.28,-2.2,4.55
42,3.36,-1.74,4.08
43,3.44,-1.4,3.8
44,3.52,-1.02,3.45
45,3.6,-0.65,3.11
46,3.68,-0.27,2.82
47,3.76,0.08,2.52
48,3.84,0.61,2.08
49,3.92,0.91,1.82
50,4.0,1.36,1.42
51,4.08,1.77,1.06
52,4.16,2.08,0.8
53,4.24,2.47,0.64
54,4.32,2.81,0.39
55,4.4,3.21,-0.01
56,4.48,3.59,-0.28
57,4.56,3.93,-0.54
58,4.64,4.33,-0.92
59,4.72,4.73,-1.24
60,4.8,5.05,-1.48
61,4.88,5.52,-1.8
62,4.96,5.82,-2.05
63,5.04,6.22,-2.37
64,5.12,6.63,-2.71
65,5.2,6.93,-2.96
66,5.28,7.36,-3.36
67,5.36,7.65,-3.58
68,5.44,7.94,-3.85
69,5.52,8.51,-4.25
70,5.6,8.85,-4.48
71,5.68,9.22,-4.82
72,5.76,9.68,-5.11
73,5.84,10.03,-5.34
74,5.92,10.39,-5.73
75,6.0,10.69,-5.86
76,6.08,11.11,-6.25
77,6.16,11.51,-6.45
78,6.24,11.79,-6.79
79,6.32,12.18,-7.12
80,6.4,12.77,-7.61
81,6.48,13.01,-7.84
82,6.56,13.34,-8.19
83,6.64,13.75,-8.37
84,6.72,14.13,-8.57
85,6.8,14.54,-8.86
86,6.88,14.85,-9.12
87,6.96,15.29,-9.38
88,7.04,15.65,-9.66
89,7.12,16.08,-9.98
90,7.2,16.49,-10.29
91,7.28,16.74,-10.46
92,7.36,17.18,-10.84
93,7.44,17.58,-11.2
94,7.52,17.86,-11.41
95,7.6,18.19,-11.63
96,7.68,18.64,-12.02
97,7.76,19.09,-12.3
98,7.84,19.28,-12.55
99,7.92,19.49,-12.72
100,8.0,19.96,-13.07
101,8.08,20.55,-13.47
102,8.16,20.63,-13.51
103,8.24,20.8,-13.69
104,8.32,21.346,-14.106
105,8.4,21.687,-14.371
106,8.48,22.028,-14.637
107,8.56,22.368,-14.902
108,8.64,22.709,-15.168
109,8.72,23.05,-15.433
110,8.8,23.391,-15.698
111,8.88,23.732,-15.964
