,timestamp,x,y
0,0.0,16.84,11.45
1,0.08,16.51,10.98
2,0.16,16.59,11.06
3,0.24,16.32,10.77
4,0.32,16.04,10.43
5,0.4,15.94,10.33
6,0.48,15.61,10.08
7,0.56,15.33,9.75
8,0.64,14.95,9.58
9,0.72,14.75,9.18
10,0.8,14.46,8.97
11,0.88,14.12,8.79
12,0.96,13.88,8.41
13,1.04,13.67,8.13
14,1.12,13.46,7.82
15,1.2,12.94,7.52
16,1.28,12.66,7.29
17,1.36,12.54,6.99
18,1.44,12.16,6.7
19,1.52,12.05,6.22
20,1.6,11.68,5.93
21,1.68,11.47,5.61
22,1.76,11.19,5.24
23,1.84,10.91,5.04
24,1.92,10.73,4.63
25,2.0,10.57,4.44
26,2.08,10.2,4.05
27,2.16,9.95,3.83
28,2.24,9.64,3.47
29,2.32,9.38,3.24
30,2.4,9.15,2.88
31,2.48,8.66,2.3
32,2.56,8.35,1.96
33,2.64,8.11,1.68
34,2.72,7.77,1.27
35,2.8,7.53,1.03
36,2.88,7.27,0.63
37,2.96,6.88,0.24
38,3.04,6.57,0.05
39,3.12,6.37,-0.27
40,3.2,6.06,-0.52
41,3.28,5.86,-0.86
42,3.36,5.5,-1.27
43,3.44,5.43,-1.31
44,3.52,5.16,-1.77
45,3.6,4.89,-1.9
46,3.68,4.55,-2.48
47,3.76,4.18,-2.83
48,3.84,3.82,-3.24
49,3.92,3.42,-3.65
50,4.0,3.28,-3.74
51,4.08,3.06,-4.28
52,4.16,2.9,-4.4
53,4.24,2.7,-4.55
54,4.32,2.36,-4.99
55,4.4,2.0,-5.33
56,4.48,1.65,-5.72
57,4.56,1.42,-6.03
58,4.64,0.9,-6.52
59,4.72,0.63,-6.76
60,4.8,0.3,-7.13
61,4.88,0.34,-7.19
62,4.96,-0.03,-7.6
63,5.04,-0.34,-7.94
64,5.12,-0.57,-8.15
65,5.2,-0.87,-8.46
66,5.28,-1.18,-8.96
67,5.36,-1.49,-9.35
68,5.44,-1.71,-9.5
69,5.52,-1.96,-9.93
