,timestamp,x,y
0,0.0,-17.84,14.71
1,0.08,-17.28,14.71
2,0.16,-17.54,14.56
3,0.24,-17.5,14.58
4,0.32,-17.47,14.5
5,0.4,-17.23,14.19
6,0.48,-17.1,14.14
7,0.56,-17.1,14.02
8,0.64,-17.14,14.13
9,0.72,-16.86,13.71
10,0.8,-16.77,13.69
11,0.88,-16.8,13.67
12,0.96,-16.7,13.61
13,1.04,-16.6,13.42
14,1.12,-16.31,13.21
15,1.2,-16.34,13.1
16,1.28,-16.25,13.08
17,1.36,-16.16,13.07
18,1.44,-16.13,12.98
19,1.52,-15.87,12.51
20,1.6,-15.82,12.38
21,1.68,-15.66,12.39
22,1.76,-15.58,12.57
23,1.84,-15.64,12.43
24,1.92,-15.42,12.14
25,2.0,-15.23,11.98
26,2.08,-15.03,12.02
27,2.16,-14.88,11.94
28,2.24,-14.96,11.83
29,2.32,-14.81,11.7
30,2.4,-14.69,11.6
31,2.48,-14.48,11.46
32,2.56,-14.39,11.42
33,2.64,-14.24,11.33
34,2.72,-14.25,11.24
35,2.8,-13.88,10.86
36,2.88,-13.75,10.79
37,2.96,-13.64,10.71
38,3.04,-13.64,10.77
39,3.12,-13.56,10.72
40,3.2,-13.32,10.75
41,3.28,-13.2,10.5
42,3.36,-12.79,10.47
43,3.44,-12.92,10.44
44,3.52,-12.89,10.43
45,3.6,-12.64,10.25
46,3.68,-12.26,9.99
47,3.76,-12.26,9.88
48,3.84,-12.28,9.94
49,3.92,-12.19,9.94
50,4.0,-11.81,9.56
51,4.08,-11.63,9.51
52,4.16,-11.72,9.49
53,4.24,-11.6,9.47
54,4.32,-11.46,9.28
55,4.4,-11.12,9.05
56,4.48,-11.04,9.05
57,4.56,-11.03,9.01
58,4.64,-10.96,9.02
59,4.72,-10.738,8.815
60,4.8,-10.609,8.721
61,4.88,-10.38,8.47
62,4.96,-10.38,8.47
63,5.04,-10.3,8.4
64,5.12,-10.107,8.268
65,5.2,-9.981,8.166
66,5.28,-9.83,8.06
67,5.36,-9.716,7.96
68,5.44,-9.42,7.71
69,5.52,-9.21,7.48
70,5.6,-9.31,7.64
71,5.68,-9.06,7.3
72,5.76,-8.91,7.35
73,5.84,-8.89,7.3
74,5.92,-8.65,7.0
75,6.0,-8.62,6.62
76,6.08,-8.63,6.82
77,6.16,-8.6,6.66
78,6.24,-8.17,6.3
79,6.32,-8.1,6.31
80,6.4,-8.12,6.16
81,6.48,-8.09,6.15
82,6.56,-7.8,5.8
83,6.64,-7.98,5.76
84,6.72,-7.8,5.86
85,6.8,-7.71,5.67
86,6.88,-7.51,5.53
87,6.96,-7.47,5.54
88,7.04,-7.47,5.32
89,7.12,-7.32,5.17
90,7.2,-7.16,5.23
91,7.28,-7.04,5.11
92,7.36,-6.88,4.98
93,7.44,-6.87,4.97
94,7.52,-6.73,4.59
95,7.6,-6.92,4.81
96,7.68,-6.76,4.58
97,7.76,-6.39,4.31
98,7.84,-6.33,4.27
99,7.92,-6.56,4.46
100,8.0,-6.37,4.3
101,8.08,-6.21,4.09
102,8.16,-6.14,4.07
103,8.24,-5.98,3.95
104,8.32,-5.99,4.0
105,8.4,-6.0,4.0
106,8.48,-5.87,3.9
107,8.56,-6.01,4.01
