,timestamp,x,y
0,0.0,0.62,-2.98
1,0.08,0.64,-3.03
2,0.16,0.64,-3.01
3,0.24,0.65,-3.01
4,0.32,0.62,-2.98
5,0.4,0.69,-2.99
6,0.48,0.64,-3.01
7,0.56,0.62,-3.0
8,0.64,0.67,-3.01
9,0.72,0.64,-3.0
10,0.8,0.66,-3.0
11,0.88,0.65,-3.0
12,0.96,0.65,-2.96
13,1.04,0.65,-2.99
14,1.12,0.66,-2.97
15,1.2,0.66,-2.96
16,1.28,0.62,-2.99
17,1.36,0.66,-2.99
18,1.44,0.63,-2.99
19,1.52,0.64,-2.99
20,1.6,0.67,-2.95
21,1.68,0.65,-3.0
22,1.76,0.66,-3.0
23,1.84,0.71,-2.97
24,1.92,0.62,-3.0
25,2.0,0.66,-2.96
26,2.08,0.64,-2.96
27,2.16,0.67,-3.01
28,2.24,0.62,-3.0
29,2.32,0.67,-3.01
30,2.4,0.65,-2.97
31,2.48,0.65,-3.0
32,2.56,0.63,-2.99
33,2.64,0.66,-2.98
34,2.72,0.68,-3.01
35,2.8,0.63,-3.0
36,2.88,0.62,-2.98
37,2.96,0.63,-2.98
38,3.04,0.6,-3.0
39,3.12,0.65,-2.96
40,3.2,0.66,-2.98
41,3.28,0.66,-3.01
42,3.36,0.67,-3.0
43,3.44,0.68,-2.99
44,3.52,0.64,-2.97
45,3.6,0.66,-3.01
46,3.68,0.66,-3.0
47,3.76,0.67,-3.01
48,3.84,0.64,-3.0
49,3.92,0.63,-2.99
50,4.0,0.63,-2.98
51,4.08,0.66,-3.0
52,4.16,0.65,-2.97
53,4.24,0.67,-3.02
54,4.32,0.64,-2.97
55,4.4,0.68,-3.02
56,4.48,0.64,-2.98
57,4.56,0.65,-3.01
58,4.64,0.66,-3.0
59,4.72,0.67,-3.01
60,4.8,0.65,-2.96
61,4.88,0.65,-2.98
62,4.96,0.72,-2.97
63,5.04,0.63,-3.0
64,5.12,0.63,-3.0
65,5.2,0.63,-2.99
66,5.28,0.69,-3.01
67,5.36,0.65,-3.01
68,5.44,0.65,-2.96
69,5.52,0.63,-2.98
70,5.6,0.63,-3.0
71,5.68,0.66,-3.0
72,5.76,0.61,-2.97
73,5.84,0.63,-3.0
74,5.92,0.66,-2.98
75,6.0,0.65,-2.96
76,6.08,0.65,-2.98
77,6.16,0.64,-2.98
78,6.24,0.63,-2.98
79,6.32,0.67,-3.01
80,6.4,0.64,-2.96
81,6.48,0.65,-3.01
82,6.56,0.65,-2.96
83,6.64,0.63,-2.97
84,6.72,0.65,-2.97
85,6.8,0.68,-3.02
86,6.88,0.63,-2.98
87,6.96,0.66,-3.02
88,7.04,0.62,-2.98
89,7.12,0.63,-2.98
90,7.2,0.64,-2.97
91,7.28,0.63,-2.97
92,7.36,0.64,-2.96
93,7.44,0.64,-2.98
94,7.52,0.65,-2.98
95,7.6,0.63,-3.0
96,7.68,0.62,-2.97
97,7.76,0.66,-3.0
98,7.84,0.65,-2.98
99,7.92,0.64,-3.0
100,8.0,0.64,-2.96
101,8.08,0.63,-2.98
102,8.16,0.63,-3.01
103,8.24,0.64,-3.01
104,8.32,0.62,-3.0
105,8.4,0.63,-2.98
106,8.48,0.64,-3.01
107,8.56,0.63,-2.98
108,8.64,0.64,-2.98
109,8.72,0.67,-3.01
110,8.8,0.64,-3.0
111,8.88,0.67,-2.97
112,8.96,0.66,-3.02
113,9.04,0.68,-2.99
114,9.12,0.65,-2.95
115,9.2,0.63,-2.98
116,9.28,0.65,-2.94
117,9.36,0.66,-2.97
118,9.44,0.63,-2.98
119,9.52,0.62,-2.97
120,9.6,0.63,-2.97
121,9.68,0.6,-3.01
122,9.76,0.66,-2.98
123,9.84,0.64,-2.96
124,9.92,0.64,-2.97
125,10.0,0.66,-2.97
126,10.08,0.62,-3.0
127,10.16,0.67,-3.01
128,10.24,0.63,-3.01
129,10.32,0.64,-2.97
130,10.4,0.63,-2.98
131,10.48,0.63,-2.96
132,10.56,0.67,-2.97
133,10.64,0.63,-2.98
134,10.72,0.65,-2.96
135,10.8,0.66,-2.96
136,10.88,0.66,-2.98
137,10.96,0.63,-2.98
138,11.04,0.63,-2.94
139,11.12,0.63,-2.97
140,11.2,0.64,-2.96
141,11.28,0.64,-2.95
142,11.36,0.63,-2.96
143,11.44,0.65,-2.99
144,11.52,0.65,-2.96
145,11.6,0.7,-2.96
146,11.68,0.64,-2.98
147,11.76,0.64,-2.97
