,timestamp,x,y
0,0.0,-2.06919,-3.04439
1,0.02,-2.04678,-3.01044
2,0.04,-2.02318,-2.97456
3,0.06,-2.0004,-2.93666
4,0.08,-1.97831,-2.89975
5,0.1,-1.95695,-2.8612
6,0.12,-1.93674,-2.82622
7,0.14,-1.91501,-2.78974
8,0.16,-1.89502,-2.7531
9,0.18,-1.87334,-2.71593
10,0.2,-1.85235,-2.67758
11,0.22,-1.83263,-2.63992
12,0.24,-1.81493,-2.60409
13,0.26,-1.79634,-2.56506
14,0.28,-1.77761,-2.52495
15,0.3,-1.76036,-2.48683
16,0.32,-1.74172,-2.4456
17,0.34,-1.72253,-2.40341
18,0.36,-1.70476,-2.36361
19,0.38,-1.68413,-2.32277
20,0.4,-1.66484,-2.28393
21,0.42,-1.64391,-2.24605
22,0.44,-1.62145,-2.20799
23,0.46,-1.60061,-2.17161
24,0.48,-1.57685,-2.13132
25,0.5,-1.5532,-2.09433
26,0.52,-1.52813,-2.05564
27,0.54,-1.50439,-2.02121
28,0.56,-1.47873,-1.98309
29,0.58,-1.45593,-1.95269
30,0.6,-1.43175,-1.91963
31,0.62,-1.40776,-1.88773
32,0.64,-1.38372,-1.85556
33,0.66,-1.35965,-1.82404
34,0.68,-1.33286,-1.7913
35,0.7,-1.30739,-1.76027
36,0.72,-1.28013,-1.72533
37,0.74,-1.25707,-1.69411
38,0.76,-1.22983,-1.65885
39,0.78,-1.20294,-1.6242
40,0.8,-1.17605,-1.58874
41,0.82,-1.15014,-1.55134
42,0.84,-1.1263,-1.51795
43,0.86,-1.10246,-1.48162
44,0.88,-1.08184,-1.44758
45,0.9,-1.0613,-1.41145
46,0.92,-1.04077,-1.37681
47,0.94,-1.01839,-1.3404
48,0.96,-0.99818,-1.3046
49,0.98,-0.97981,-1.26934
50,1.0,-0.96211,-1.23358
51,1.02,-0.9521,-1.21221
52,1.04,-0.93026,-1.17352
53,1.06,-0.90415,-1.1315
54,1.08,-0.88226,-1.09308
55,1.1,-0.86169,-1.0551
56,1.12,-0.84176,-1.01679
57,1.14,-0.82158,-0.97742
58,1.16,-0.80018,-0.93512
59,1.18,-0.77965,-0.89357
60,1.2,-0.76093,-0.85494
61,1.22,-0.74128,-0.81403
