,timestamp,x,y
0,0.0,1.2349,-3.95874
1,0.02,1.22743,-3.96869
2,0.04,1.22042,-3.97828
3,0.06,1.21338,-3.9887
4,0.08,1.20916,-3.99794
5,0.1,1.20496,-4.00703
6,0.12,1.20033,-4.01704
7,0.14,1.19636,-4.02566
8,0.16,1.19209,-4.03526
9,0.18,1.18953,-4.04508
10,0.2,1.1869,-4.05459
11,0.22,1.18392,-4.06396
12,0.24,1.18302,-4.07245
13,0.26,1.18306,-4.08232
14,0.28,1.18293,-4.09087
15,0.3,1.1833,-4.10092
16,0.32,1.18373,-4.10863
17,0.34,1.18493,-4.1169
18,0.36,1.18697,-4.12551
19,0.38,1.18809,-4.1332
20,0.4,1.18757,-4.14212
21,0.42,1.18652,-4.15121
22,0.44,1.18476,-4.16182
23,0.46,1.19085,-4.17319
24,0.48,1.19383,-4.18283
25,0.5,1.19674,-4.19296
26,0.52,1.19653,-4.2032
27,0.54,1.20067,-4.21415
28,0.56,1.20412,-4.22586
29,0.58,1.20493,-4.2379
30,0.6,1.2065,-4.24867
31,0.62,1.20768,-4.25823
32,0.64,1.2086,-4.26826
33,0.66,1.20951,-4.27858
34,0.68,1.21171,-4.28814
35,0.7,1.21253,-4.30155
36,0.72,1.21375,-4.31419
37,0.74,1.215,-4.32736
38,0.76,1.21416,-4.34065
39,0.78,1.21417,-4.35339
40,0.8,1.21645,-4.36625
41,0.82,1.21663,-4.37937
42,0.84,1.21826,-4.39444
43,0.86,1.21827,-4.40851
44,0.88,1.22011,-4.42341
45,0.9,1.22112,-4.43977
46,0.92,1.22412,-4.45627
47,0.94,1.22647,-4.47304
48,0.96,1.22675,-4.4892
49,0.98,1.22849,-4.50657
50,1.0,1.23002,-4.52365
51,1.02,1.23235,-4.53832
52,1.04,1.23438,-4.55302
53,1.06,1.23617,-4.56766
54,1.08,1.23776,-4.58224
55,1.1,1.23987,-4.59544
56,1.12,1.24398,-4.60874
57,1.14,1.248,-4.62097
58,1.16,1.25169,-4.63267
59,1.18,1.2551,-4.64451
60,1.2,1.25829,-4.65678
61,1.22,1.26561,-4.66934
62,1.24,1.27375,-4.68237
63,1.26,1.28421,-4.69665
64,1.28,1.29481,-4.7112
65,1.3,1.30683,-4.72801
66,1.32,1.32149,-4.7427
67,1.34,1.33472,-4.75957
68,1.36,1.34966,-4.77553
69,1.38,1.36727,-4.79308
70,1.4,1.38558,-4.81078
71,1.42,1.40444,-4.82846
72,1.44,1.42365,-4.84617
73,1.46,1.44336,-4.86307
74,1.48,1.46285,-4.88065
75,1.5,1.47996,-4.89883
76,1.52,1.49819,-4.9144
77,1.54,1.51171,-4.9315
78,1.56,1.52415,-4.94793
79,1.58,1.53508,-4.96496
80,1.6,1.54502,-4.98175
81,1.62,1.55184,-4.99926
82,1.64,1.56474,-5.01457
83,1.66,1.56891,-5.03138
84,1.68,1.57449,-5.04662
85,1.7,1.58269,-5.06162
86,1.72,1.58562,-5.07901
87,1.74,1.59017,-5.09427
88,1.76,1.59524,-5.10962
89,1.78,1.59893,-5.12468
90,1.8,1.60104,-5.14085
91,1.82,1.60795,-5.15894
92,1.84,1.61092,-5.1736
93,1.86,1.61576,-5.18757
94,1.88,1.62101,-5.20327
95,1.9,1.62535,-5.2179
96,1.92,1.62854,-5.23288
97,1.94,1.63161,-5.24626
98,1.96,1.63402,-5.25947
99,1.98,1.63649,-5.27135
100,2.0,1.64104,-5.28191
101,2.02,1.64359,-5.29112
102,2.04,1.64803,-5.30013
103,2.06,1.65032,-5.30875
104,2.08,1.65749,-5.31545
105,2.1,1.65795,-5.31928
106,2.12,1.65941,-5.32361
107,2.14,1.66251,-5.32662
108,2.16,1.66423,-5.32924
109,2.18,1.66704,-5.33157
110,2.2,1.6711,-5.33245
111,2.22,1.67524,-5.33455
112,2.24,1.67918,-5.33445
113,2.26,1.68336,-5.33529
114,2.28,1.68652,-5.33537
115,2.3,1.69059,-5.33531
116,2.32,1.69348,-5.33537
117,2.34,1.69594,-5.33441
118,2.36,1.69941,-5.33362
119,2.38,1.70236,-5.33131
120,2.4,1.70489,-5.32846
121,2.42,1.70668,-5.32577
122,2.44,1.7098,-5.32308
123,2.46,1.71194,-5.32129
124,2.48,1.71439,-5.31793
125,2.5,1.71595,-5.31489
126,2.52,1.71718,-5.31229
127,2.54,1.71793,-5.3101
128,2.56,1.72043,-5.30742
129,2.58,1.71995,-5.30594
130,2.6,1.72162,-5.30403
131,2.62,1.72244,-5.30304
132,2.64,1.72507,-5.30222
133,2.66,1.72674,-5.30218
134,2.68,1.72953,-5.30337
135,2.7,1.73171,-5.3045
136,2.72,1.73335,-5.30554
137,2.74,1.7349,-5.30596
138,2.76,1.736,-5.30645
139,2.78,1.73634,-5.30811
140,2.8,1.73566,-5.3114
141,2.82,1.73507,-5.31365
142,2.84,1.7344,-5.31554
143,2.86,1.73527,-5.3182
144,2.88,1.73591,-5.3204
145,2.9,1.73616,-5.32282
146,2.92,1.73628,-5.32478
147,2.94,1.73748,-5.32797
148,2.96,1.74058,-5.33047
149,2.98,1.74335,-5.33181
150,3.0,1.74735,-5.33332
151,3.02,1.75083,-5.3338
152,3.04,1.75346,-5.33468
153,3.06,1.75749,-5.33509
154,3.08,1.7629,-5.33446
