,timestamp,x,y
0,0.0,-1.00682,-1.09779
1,0.02,-0.98401,-1.11617
2,0.04,-0.96352,-1.13723
3,0.06,-0.94276,-1.15696
4,0.08,-0.92319,-1.17399
5,0.1,-0.90247,-1.18861
6,0.12,-0.88795,-1.21527
7,0.14,-0.86919,-1.2301
8,0.16,-0.85468,-1.25007
9,0.18,-0.83595,-1.26283
10,0.2,-0.81972,-1.27788
11,0.22,-0.79475,-1.28532
12,0.24,-0.79791,-1.28896
13,0.26,-0.77419,-1.2996
14,0.28,-0.75674,-1.32187
15,0.3,-0.73537,-1.33691
16,0.32,-0.71473,-1.35332
17,0.34,-0.69858,-1.373
18,0.36,-0.68009,-1.39339
19,0.38,-0.66112,-1.41334
20,0.4,-0.64379,-1.43627
21,0.42,-0.62781,-1.46167
22,0.44,-0.6121,-1.48804
23,0.46,-0.59614,-1.51378
24,0.48,-0.5743,-1.50752
25,0.5,-0.55781,-1.51951
26,0.52,-0.53956,-1.5387
27,0.54,-0.52077,-1.55428
28,0.56,-0.50125,-1.57053
29,0.58,-0.48168,-1.58827
30,0.6,-0.46154,-1.60547
31,0.62,-0.4413,-1.62047
32,0.64,-0.41942,-1.63257
33,0.66,-0.39811,-1.64552
34,0.68,-0.38526,-1.67095
35,0.7,-0.36369,-1.68256
36,0.72,-0.34169,-1.6932
37,0.74,-0.3205,-1.70532
38,0.76,-0.30003,-1.71877
39,0.78,-0.28019,-1.7334
40,0.8,-0.28397,-1.7695
41,0.82,-0.26701,-1.78764
42,0.84,-0.25118,-1.80755
43,0.86,-0.24578,-1.82421
44,0.88,-0.23217,-1.8468
45,0.9,-0.22202,-1.86644
46,0.92,-0.21092,-1.88644
47,0.94,-0.19933,-1.90597
48,0.96,-0.1886,-1.92741
49,0.98,-0.17746,-1.94798
50,1.0,-0.16408,-1.96788
51,1.02,-0.15243,-1.98994
52,1.04,-0.13942,-2.00859
53,1.06,-0.12699,-2.02741
54,1.08,-0.11587,-2.04815
55,1.1,-0.10502,-2.06875
56,1.12,-0.09443,-2.08994
57,1.14,-0.08303,-2.10958
58,1.16,-0.07189,-2.12988
59,1.18,-0.06071,-2.14978
60,1.2,-0.0497,-2.17027
61,1.22,-0.03878,-2.19125
62,1.24,-0.02698,-2.21064
63,1.26,-0.01439,-2.22866
64,1.28,-0.00129,-2.24576
65,1.3,0.01315,-2.26079
66,1.32,0.02781,-2.27539
67,1.34,0.04349,-2.28925
68,1.36,0.05823,-2.30399
69,1.38,0.07116,-2.31802
70,1.4,0.08552,-2.33002
71,1.42,0.09998,-2.34244
72,1.44,0.1144,-2.35608
73,1.46,0.12838,-2.37203
74,1.48,0.14116,-2.39043
75,1.5,0.15456,-2.40795
76,1.52,0.16777,-2.42573
77,1.54,0.18071,-2.44453
78,1.56,0.19356,-2.46334
79,1.58,0.20707,-2.48109
80,1.6,0.22118,-2.49787
81,1.62,0.23578,-2.51383
82,1.64,0.25008,-2.53013
83,1.66,0.26563,-2.54386
84,1.68,0.28151,-2.55644
85,1.7,0.29758,-2.56885
86,1.72,0.31385,-2.5804
87,1.74,0.3295,-2.59306
88,1.76,0.34608,-2.60386
89,1.78,0.36202,-2.61521
90,1.8,0.37804,-2.62677
91,1.82,0.40778,-2.59435
92,1.84,0.42018,-2.61294
93,1.86,0.43282,-2.63164
94,1.88,0.44564,-2.65015
95,1.9,0.45787,-2.66534
96,1.92,0.46735,-2.68356
97,1.94,0.47744,-2.69773
98,1.96,0.48524,-2.71494
99,1.98,0.49572,-2.72851
100,2.0,0.5063,-2.74404
101,2.02,0.51413,-2.75889
102,2.04,0.52146,-2.77344
103,2.06,0.5277,-2.78945
104,2.08,0.53458,-2.80275
105,2.1,0.54313,-2.82064
106,2.12,0.54823,-2.83338
107,2.14,0.55099,-2.84795
108,2.16,0.5591,-2.86429
109,2.18,0.56597,-2.88312
110,2.2,0.57396,-2.89964
111,2.22,0.58222,-2.91522
112,2.24,0.59001,-2.93164
113,2.26,0.59881,-2.94605
114,2.28,0.60779,-2.95983
115,2.3,0.61763,-2.97198
116,2.32,0.62679,-2.9855
117,2.34,0.63676,-2.9975
118,2.36,0.64742,-3.00821
119,2.38,0.65723,-3.02108
120,2.4,0.66773,-3.03261
121,2.42,0.62397,-3.05464
122,2.44,0.62539,-3.06725
123,2.46,0.62958,-3.07616
124,2.48,0.63582,-3.08598
125,2.5,0.6411,-3.09572
126,2.52,0.64876,-3.10331
127,2.54,0.65635,-3.1084
128,2.56,0.66445,-3.11521
129,2.58,0.67304,-3.11866
130,2.6,0.68197,-3.12523
131,2.62,0.6908,-3.13177
132,2.64,0.69952,-3.1388
133,2.66,0.70814,-3.14628
134,2.68,0.71666,-3.15416
135,2.7,0.72574,-3.16085
136,2.72,0.73462,-3.16808
137,2.74,0.74402,-3.1747
138,2.76,0.7538,-3.18036
139,2.78,0.76456,-3.18412
140,2.8,0.77483,-3.18892
141,2.82,0.78534,-3.19358
142,2.84,0.79664,-3.19661
143,2.86,0.80793,-3.19935
144,2.88,0.81924,-3.20235
145,2.9,0.83048,-3.20515
146,2.92,0.8423,-3.20675
147,2.94,0.85393,-3.20843
148,2.96,0.85947,-3.14825
149,2.98,0.87103,-3.14648
150,3.0,0.88367,-3.1423
151,3.02,0.89416,-3.14242
152,3.04,0.90657,-3.13872
153,3.06,0.91726,-3.13843
154,3.08,0.92618,-3.13382
155,3.1,0.93676,-3.13326
156,3.12,0.9481,-3.13056
157,3.14,0.95783,-3.13137
158,3.16,0.96112,-3.13193
159,3.18,0.96677,-3.13419
160,3.2,0.97562,-3.13535
161,3.22,0.98377,-3.13801
162,3.24,0.99204,-3.14026
163,3.26,0.99372,-3.1448
164,3.28,1.00159,-3.1467
165,3.3,0.99921,-3.14827
166,3.32,1.00578,-3.15091
167,3.34,1.01251,-3.15317
168,3.36,1.00732,-3.15927
169,3.38,1.00398,-3.16524
170,3.4,1.00932,-3.16738
171,3.42,1.01467,-3.16953
172,3.44,1.00747,-3.16948
173,3.46,1.00172,-3.17238
174,3.48,1.00497,-3.17442
175,3.5,0.99732,-3.17902
176,3.52,0.99892,-3.18237
177,3.54,1.00014,-3.18622
178,3.56,1.00184,-3.18919
179,3.58,1.00388,-3.19174
180,3.6,1.00536,-3.19488
181,3.62,1.00734,-3.19749
182,3.64,1.00932,-3.20011
183,3.66,1.01093,-3.20269
184,3.68,1.01287,-3.2053
185,3.7,1.01332,-3.21051
186,3.72,1.01557,-3.21202
187,3.74,1.01724,-3.21463
188,3.76,1.01927,-3.21669
189,3.78,0.96642,-3.20976
190,3.8,0.96556,-3.21057
191,3.82,0.96487,-3.21112
192,3.84,0.95671,-3.21105
193,3.86,0.95337,-3.21151
194,3.88,0.95136,-3.21189
195,3.9,0.94936,-3.21363
196,3.92,0.94763,-3.2151
197,3.94,0.94673,-3.21606
198,3.96,0.94541,-3.21684
199,3.98,0.94358,-3.21846
200,4.0,0.94752,-3.21784
201,4.02,0.94661,-3.21856
202,4.04,0.94873,-3.22024
203,4.06,0.94839,-3.22057
204,4.08,0.94748,-3.22181
205,4.1,0.94898,-3.22371
206,4.12,0.94966,-3.22492
207,4.14,0.95008,-3.22573
208,4.16,0.9501,-3.22613
209,4.18,0.94904,-3.2299
210,4.2,0.94896,-3.23097
211,4.22,0.94825,-3.2333
212,4.24,0.94761,-3.23554
213,4.26,0.94716,-3.23736
214,4.28,0.94687,-3.23879
215,4.3,0.94654,-3.23911
216,4.32,0.94633,-3.23942
217,4.34,0.94637,-3.2399
218,4.36,0.94625,-3.23983
219,4.38,0.94641,-3.23992
220,4.4,0.94662,-3.2399
221,4.42,0.94648,-3.23946
222,4.44,0.94672,-3.23924
223,4.46,0.94665,-3.23879
224,4.48,0.94602,-3.23949
