,timestamp,x,y
0,0.0,-28.02,23.45
1,0.08,-27.76,23.26
2,0.16,-27.48,22.92
3,0.24,-27.54,22.88
4,0.32,-27.27,22.74
5,0.4,-26.88,22.46
6,0.48,-26.53,22.24
7,0.56,-26.3,22.13
8,0.64,-26.42,21.93
9,0.72,-26.26,21.82
10,0.8,-25.95,21.65
11,0.88,-25.69,21.46
12,0.96,-25.51,21.3
13,1.04,-25.25,21.08
14,1.12,-24.96,20.77
15,1.2,-24.68,20.61
16,1.28,-24.43,20.47
17,1.36,-24.15,20.33
18,1.44,-24.06,20.31
19,1.52,-23.33,20.13
20,1.6,-23.09,19.96
21,1.68,-22.89,19.85
22,1.76,-23.12,19.49
23,1.84,-22.71,19.19
24,1.92,-22.58,19.08
25,2.0,-22.33,18.86
26,2.08,-22.05,18.6
27,2.16,-21.84,18.43
28,2.24,-21.71,18.34
29,2.32,-21.19,18.31
30,2.4,-21.17,17.85
31,2.48,-20.98,17.68
32,2.56,-20.82,17.57
33,2.64,-20.79,17.13
34,2.72,-20.32,17.1
35,2.8,-20.27,17.09
36,2.88,-19.55,16.87
37,2.96,-19.43,16.77
38,3.04,-19.53,16.46
39,3.12,-19.49,16.24
40,3.2,-19.27,15.72
41,3.28,-19.09,15.6
42,3.36,-18.66,15.44
43,3.44,-18.43,15.34
44,3.52,-18.45,15.31
45,3.6,-18.16,14.97
46,3.68,-17.84,14.78
47,3.76,-17.74,14.63
48,3.84,-17.75,14.31
49,3.92,-17.42,14.02
50,4.0,-17.15,14.04
51,4.08,-17.16,14.1
52,4.16,-16.61,13.68
53,4.24,-16.64,13.59
54,4.32,-16.46,13.51
55,4.4,-16.0,13.13
56,4.48,-15.95,12.98
57,4.56,-15.91,13.03
58,4.64,-15.49,12.57
59,4.72,-15.22,12.52
60,4.8,-15.28,12.45
61,4.88,-15.16,12.3
62,4.96,-14.65,12.02
63,5.04,-14.7,11.94
64,5.12,-14.53,11.9
65,5.2,-14.04,11.51
66,5.28,-14.13,11.45
67,5.36,-13.96,11.39
68,5.44,-13.48,10.99
69,5.52,-13.47,10.92
70,5.6,-13.37,10.89
71,5.68,-12.89,10.5
72,5.76,-12.82,10.46
73,5.84,-12.71,10.18
74,5.92,-12.47,10.04
75,6.0,-12.31,9.71
76,6.08,-12.1,9.83
77,6.16,-12.09,9.49
78,6.24,-11.86,9.26
79,6.32,-11.77,9.2
80,6.4,-11.42,8.79
81,6.48,-11.51,8.8
82,6.56,-10.85,8.59
83,6.64,-10.95,8.35
84,6.72,-10.92,8.35
85,6.8,-10.5,8.0
86,6.88,-10.5,8.02
87,6.96,-10.35,7.92
88,7.04,-9.98,7.51
89,7.12,-9.98,7.31
90,7.2,-9.71,7.34
91,7.28,-9.48,7.14
92,7.36,-9.24,6.9
93,7.44,-9.12,6.89
94,7.52,-8.94,6.71
95,7.6,-8.78,6.57
96,7.68,-8.61,6.43
97,7.76,-8.6,6.42
98,7.84,-8.47,6.3
99,7.92,-8.06,5.97
100,8.0,-7.92,5.86
101,8.08,-7.86,5.8
102,8.16,-7.73,5.42
103,8.24,-7.37,5.39
104,8.32,-7.2,5.25
105,8.4,-7.01,5.07
106,8.48,-6.99,4.83
