,timestamp,x,y
0,0.0,-3.22,2.11
1,0.08,-3.12,2.23
2,0.16,-3.1,2.19
3,0.24,-3.09,2.15
4,0.32,-3.13,2.23
5,0.4,-3.11,2.17
6,0.48,-3.24,2.14
7,0.56,-3.13,2.21
8,0.64,-3.12,2.23
9,0.72,-3.08,2.16
10,0.8,-3.1,2.2
11,0.88,-3.15,2.19
12,0.96,-3.15,2.23
13,1.04,-3.07,2.17
14,1.12,-3.14,2.21
15,1.2,-3.08,2.19
16,1.28,-3.16,2.2
17,1.36,-3.12,2.26
18,1.44,-3.14,2.22
19,1.52,-3.11,2.19
20,1.6,-3.1,2.15
21,1.68,-3.19,2.12
22,1.76,-3.19,2.12
23,1.84,-3.06,2.18
24,1.92,-3.23,2.13
25,2.0,-3.07,2.14
26,2.08,-3.09,2.18
27,2.16,-3.07,2.17
28,2.24,-3.08,2.15
29,2.32,-3.09,2.16
30,2.4,-3.07,2.17
31,2.48,-3.08,2.2
32,2.56,-3.06,2.18
33,2.64,-3.2,2.14
34,2.72,-3.22,2.19
35,2.8,-3.21,2.22
36,2.88,-3.17,2.14
37,2.96,-3.05,2.32
38,3.04,-2.98,2.25
39,3.12,-3.03,2.32
40,3.2,-2.81,2.04
41,3.28,-2.92,2.26
42,3.36,-2.82,2.07
43,3.44,-2.73,2.38
44,3.52,-2.74,2.46
45,3.6,-2.61,2.13
46,3.68,-2.41,2.22
47,3.76,-2.4,2.19
48,3.84,-2.4,2.23
49,3.92,-2.24,2.2
50,4.0,-2.16,2.3
51,4.08,-1.99,2.3
52,4.16,-1.95,2.43
53,4.24,-1.82,2.48
54,4.32,-1.59,2.49
55,4.4,-1.61,2.52
56,4.48,-1.23,2.78
57,4.56,-1.21,2.83
58,4.64,-1.24,2.86
59,4.72,-1.04,3.0
60,4.8,-0.75,3.14
61,4.88,-0.65,3.28
62,4.96,-0.5,3.41
63,5.04,-0.35,3.49
64,5.12,-0.39,3.65
65,5.2,-0.11,3.75
66,5.28,-0.01,3.81
67,5.36,0.2,3.92
68,5.44,0.23,4.01
69,5.52,0.34,4.24
70,5.6,0.49,4.21
71,5.68,0.66,4.43
72,5.76,0.73,4.55
73,5.84,0.79,4.73
74,5.92,1.03,4.87
75,6.0,1.06,4.93
76,6.08,1.13,4.99
77,6.16,1.36,5.17
78,6.24,1.4,5.27
79,6.32,1.56,5.44
80,6.4,1.8,5.57
81,6.48,1.79,5.69
82,6.56,1.92,5.86
83,6.64,2.04,6.06
84,6.72,2.26,6.21
85,6.8,2.43,6.43
86,6.88,2.44,6.49
87,6.96,2.54,6.71
88,7.04,2.58,6.82
89,7.12,2.7,7.06
90,7.2,2.79,7.24
91,7.28,2.85,7.37
92,7.36,2.98,7.58
93,7.44,3.06,7.78
94,7.52,3.18,8.01
95,7.6,3.25,8.12
96,7.68,3.33,8.52
97,7.76,3.39,8.59
98,7.84,3.46,8.68
99,7.92,3.51,8.89
100,8.0,3.48,9.06
101,8.08,3.6,9.25
102,8.16,3.75,9.49
103,8.24,3.86,9.65
104,8.32,4.1,9.94
105,8.4,4.14,10.04
106,8.48,4.35,10.4
107,8.56,4.5,10.57
108,8.64,4.65,10.74
109,8.72,4.83,10.91
110,8.8,4.89,11.04
111,8.88,5.25,11.22
112,8.96,5.43,11.47
113,9.04,5.57,11.61
114,9.12,5.74,11.77
115,9.2,5.93,11.93
116,9.28,6.1,12.16
117,9.36,6.23,12.31
118,9.44,6.45,12.41
119,9.52,6.78,12.68
120,9.6,6.99,12.77
121,9.68,7.09,12.84
122,9.76,7.5,13.12
123,9.84,8.03,12.65
124,9.92,8.01,12.62
125,10.0,7.97,12.58
126,10.08,8.28,13.46
127,10.16,8.73,13.73
128,10.24,8.75,13.63
129,10.32,9.34,13.81
130,10.4,9.59,13.99
131,10.48,9.66,14.01
132,10.56,9.83,14.05
133,10.64,10.19,14.17
134,10.72,10.28,14.15
135,10.8,10.85,14.56
136,10.88,10.81,14.38
137,10.96,11.16,14.35
138,11.04,11.31,14.44
