,timestamp,x,y
0,0.0,-33.81,33.88
1,0.08,-33.57,33.65
2,0.16,-33.41,33.53
3,0.24,-33.12,33.32
4,0.32,-32.91,33.26
5,0.4,-32.7,32.79
6,0.48,-32.51,32.66
7,0.56,-32.48,32.61
8,0.64,-32.3,32.48
9,0.72,-32.15,32.31
10,0.8,-31.94,32.15
11,0.88,-31.65,32.04
12,0.96,-31.56,31.64
13,1.04,-31.26,31.45
14,1.12,-31.07,31.33
15,1.2,-31.05,31.27
16,1.28,-30.85,31.07
17,1.36,-30.78,30.7
18,1.44,-30.59,30.36
19,1.52,-30.359,30.356
20,1.6,-30.189,30.157
21,1.68,-30.019,29.958
22,1.76,-29.97,29.69
23,1.84,-29.67,29.48
24,1.92,-29.51,29.23
25,2.0,-29.38,29.01
26,2.08,-29.4,28.99
27,2.16,-29.25,28.83
28,2.24,-29.0,28.68
29,2.32,-28.7,28.51
30,2.4,-28.48,28.18
31,2.48,-28.431,28.033
32,2.56,-28.26,27.86
33,2.64,-28.05,27.72
34,2.72,-27.79,27.54
35,2.8,-27.54,27.18
36,2.88,-27.14,26.88
37,2.96,-27.22,26.9
38,3.04,-27.03,26.73
39,3.12,-26.93,26.46
40,3.2,-26.6,26.27
41,3.28,-26.59,26.22
42,3.36,-26.42,26.04
43,3.44,-26.14,25.88
44,3.52,-26.04,25.58
45,3.6,-25.85,25.45
46,3.68,-25.69,25.26
47,3.76,-25.43,25.13
48,3.84,-25.28,24.8
49,3.92,-25.11,24.68
50,4.0,-24.84,24.47
51,4.08,-24.65,24.3
52,4.16,-24.42,24.16
53,4.24,-24.33,23.88
54,4.32,-24.16,23.78
55,4.4,-24.05,23.64
56,4.48,-23.82,23.53
57,4.56,-23.66,23.21
58,4.64,-23.72,22.86
59,4.72,-23.45,22.71
60,4.8,-23.39,22.56
61,4.88,-23.16,22.42
62,4.96,-22.95,22.09
63,5.04,-22.73,21.93
64,5.12,-22.53,21.81
65,5.2,-22.36,21.62
66,5.28,-22.17,21.53
67,5.36,-22.07,21.29
68,5.44,-21.9,21.17
69,5.52,-21.55,20.93
70,5.6,-21.5,20.89
71,5.68,-21.3,20.77
72,5.76,-21.13,20.47
73,5.84,-20.95,20.35
74,5.92,-20.73,20.19
75,6.0,-20.55,20.02
76,6.08,-20.34,19.9
77,6.16,-20.21,19.87
78,6.24,-20.07,19.58
79,6.32,-19.94,19.51
80,6.4,-19.75,19.32
81,6.48,-19.52,19.18
82,6.56,-19.34,19.09
83,6.64,-19.23,18.82
84,6.72,-18.97,18.65
85,6.8,-18.83,18.53
86,6.88,-18.7,18.26
87,6.96,-18.53,18.19
88,7.04,-18.43,18.12
89,7.12,-18.25,18.01
90,7.2,-18.01,17.66
91,7.28,-17.88,17.59
92,7.36,-17.76,17.51
93,7.44,-17.59,17.38
94,7.52,-17.41,17.3
95,7.6,-17.21,17.0
96,7.68,-17.04,16.86
97,7.76,-16.89,16.76
98,7.84,-16.8,16.71
99,7.92,-16.63,16.62
100,8.0,-16.41,16.29
101,8.08,-16.28,16.22
102,8.16,-16.14,16.11
103,8.24,-15.99,16.01
104,8.32,-15.83,15.74
105,8.4,-15.7,15.67
106,8.48,-15.58,15.6
107,8.56,-15.42,15.5
108,8.64,-15.31,15.26
109,8.72,-15.16,15.14
110,8.8,-15.03,15.06
111,8.88,-15.01,14.65
112,8.96,-14.78,14.45
113,9.04,-14.71,14.39
114,9.12,-14.57,14.26
115,9.2,-14.45,14.16
116,9.28,-14.28,14.01
117,9.36,-14.17,13.91
118,9.44,-14.04,13.8
119,9.52,-13.66,13.86
120,9.6,-13.43,13.72
121,9.68,-13.23,13.61
122,9.76,-13.11,13.54
123,9.84,-13.05,13.32
124,9.92,-12.9,13.27
