,timestamp,x,y
0,0.0,-4.65,6.69
1,0.08,-4.67,6.67
2,0.16,-4.66,6.69
3,0.24,-4.48,6.54
4,0.32,-4.65,6.68
5,0.4,-4.62,6.64
6,0.48,-4.65,6.68
7,0.56,-4.62,6.66
8,0.64,-4.62,6.67
9,0.72,-4.64,6.67
10,0.8,-4.65,6.68
11,0.88,-4.64,6.67
12,0.96,-4.63,6.67
13,1.04,-4.58,6.64
14,1.12,-4.62,6.67
15,1.2,-4.63,6.69
16,1.28,-4.64,6.69
17,1.36,-4.65,6.68
18,1.44,-4.66,6.7
19,1.52,-4.64,6.69
20,1.6,-4.64,6.69
21,1.68,-4.52,6.56
22,1.76,-4.52,6.56
23,1.84,-4.0,6.15
24,1.92,-3.99,6.13
25,2.0,-4.53,6.59
26,2.08,-4.52,6.59
27,2.16,-3.98,6.13
28,2.24,-4.51,6.58
29,2.32,-4.51,6.57
30,2.4,-4.56,6.57
31,2.48,-4.55,6.57
32,2.56,-4.55,6.57
33,2.64,-4.58,6.6
34,2.72,-4.56,6.59
35,2.8,-4.57,6.61
36,2.88,-4.55,6.6
37,2.96,-4.53,6.6
38,3.04,-4.54,6.6
39,3.12,-4.52,6.6
40,3.2,-4.53,6.59
41,3.28,-4.54,6.61
42,3.36,-4.54,6.61
43,3.44,-4.55,6.57
44,3.52,-4.52,6.57
45,3.6,-4.52,6.59
46,3.68,-4.48,6.56
47,3.76,-4.48,6.56
48,3.84,-4.5,6.57
49,3.92,-4.49,6.55
50,4.0,-4.53,6.55
51,4.08,-4.53,6.57
52,4.16,-4.52,6.58
53,4.24,-4.53,6.6
54,4.32,-4.54,6.58
55,4.4,-4.52,6.59
56,4.48,-4.52,6.55
57,4.56,-4.53,6.56
58,4.64,-4.53,6.58
59,4.72,-4.53,6.6
60,4.8,-4.52,6.58
61,4.88,-4.48,6.56
62,4.96,-4.54,6.59
63,5.04,-4.52,6.59
64,5.12,-4.52,6.58
65,5.2,-4.52,6.59
66,5.28,-4.54,6.59
67,5.36,-4.51,6.59
68,5.44,-4.51,6.57
69,5.52,-4.49,6.56
70,5.6,-4.51,6.57
71,5.68,-4.49,6.57
72,5.76,-4.53,6.57
73,5.84,-4.5,6.56
74,5.92,-4.5,6.57
75,6.0,-4.53,6.57
76,6.08,-4.53,6.57
77,6.16,-4.52,6.57
78,6.24,-4.5,6.56
79,6.32,-4.55,6.6
80,6.4,-4.53,6.59
81,6.48,-4.52,6.58
82,6.56,-4.52,6.58
83,6.64,-4.53,6.58
84,6.72,-4.51,6.57
85,6.8,-4.5,6.55
86,6.88,-4.53,6.56
87,6.96,-4.54,6.56
88,7.04,-4.52,6.55
89,7.12,-4.57,6.6
90,7.2,-4.52,6.56
91,7.28,-4.55,6.57
92,7.36,-4.54,6.55
93,7.44,-4.53,6.56
94,7.52,-4.54,6.56
95,7.6,-4.55,6.55
96,7.68,-4.56,6.56
97,7.76,-4.55,6.57
98,7.84,-4.54,6.55
99,7.92,-4.54,6.55
100,8.0,-4.55,6.56
101,8.08,-4.55,6.55
102,8.16,-4.55,6.57
103,8.24,-4.55,6.57
104,8.32,-4.51,6.57
105,8.4,-4.51,6.56
106,8.48,-4.52,6.58
107,8.56,-4.51,6.52
108,8.64,-4.5,6.58
109,8.72,-4.54,6.6
110,8.8,-4.52,6.58
111,8.88,-4.54,6.61
112,8.96,-4.49,6.58
113,9.04,-4.52,6.6
114,9.12,-4.53,6.59
115,9.2,-4.51,6.57
116,9.28,-4.5,6.58
117,9.36,-4.58,6.53
118,9.44,-4.55,6.54
119,9.52,-4.56,6.55
120,9.6,-4.57,6.55
121,9.68,-4.54,6.52
122,9.76,-4.54,6.53
123,9.84,-4.34,6.38
124,9.92,-4.53,6.52
125,10.0,-4.53,6.54
126,10.08,-4.53,6.54
127,10.16,-4.53,6.54
128,10.24,-4.34,6.39
129,10.32,-4.33,6.4
130,10.4,-4.53,6.55
131,10.48,-4.48,6.5
132,10.56,-4.33,6.38
133,10.64,-4.32,6.38
134,10.72,-4.53,6.57
135,10.8,-4.31,6.4
136,10.88,-4.31,6.4
137,10.96,-4.32,6.44
138,11.04,-4.31,6.43
139,11.12,-4.29,6.42
140,11.2,-4.3,6.43
141,11.28,-4.49,6.58
142,11.36,-4.49,6.58
143,11.44,-4.47,6.57
144,11.52,-4.29,6.43
145,11.6,-4.3,6.43
146,11.68,-4.26,6.41
147,11.76,-4.3,6.42
148,11.84,-4.29,6.42
149,11.92,-4.31,6.43
150,12.0,-4.3,6.43
151,12.08,-4.3,6.43
152,12.16,-4.44,6.57
153,12.24,-4.27,6.42
154,12.32,-4.27,6.42
155,12.4,-4.47,6.58
156,12.48,-4.28,6.43
157,12.56,-4.3,6.43
158,12.64,-4.3,6.44
159,12.72,-4.31,6.43
160,12.8,-4.29,6.42
161,12.88,-4.3,6.44
162,12.96,-4.29,6.44
163,13.04,-4.32,6.44
164,13.12,-4.27,6.42
165,13.2,-4.46,6.58
166,13.28,-4.3,6.44
167,13.36,-4.49,6.58
168,13.44,-4.32,6.44
169,13.52,-4.63,6.71
170,13.6,-4.42,6.55
171,13.68,-4.41,6.54
172,13.76,-4.29,6.43
173,13.84,-4.31,6.43
174,13.92,-4.27,6.42
175,14.0,-4.29,6.43
176,14.08,-4.41,6.54
177,14.16,-4.41,6.56
178,14.24,-4.39,6.55
179,14.32,-4.42,6.55
180,14.4,-4.42,6.56
181,14.48,-4.4,6.56
182,14.56,-4.27,6.42
183,14.64,-4.28,6.43
184,14.72,-4.27,6.42
185,14.8,-4.3,6.44
186,14.88,-4.29,6.43
187,14.96,-4.29,6.42
188,15.04,-4.3,6.44
189,15.12,-4.29,6.42
190,15.2,-4.29,6.42
191,15.28,-4.28,6.43
192,15.36,-4.29,6.42
193,15.44,-4.29,6.42
194,15.52,-4.31,6.43
195,15.6,-4.3,6.43
196,15.68,-4.29,6.43
197,15.76,-4.3,6.42
198,15.84,-4.28,6.41
199,15.92,-4.31,6.43
200,16.0,-4.29,6.42
201,16.08,-4.41,6.57
202,16.16,-4.39,6.56
203,16.24,-4.42,6.55
204,16.32,-4.29,6.43
205,16.4,-4.29,6.43
206,16.48,-4.29,6.43
207,16.56,-4.32,6.44
208,16.64,-4.32,6.44
209,16.72,-4.3,6.44
210,16.8,-4.29,6.43
211,16.88,-4.29,6.43
212,16.96,-4.27,6.42
213,17.04,-4.29,6.43
214,17.12,-4.28,6.42
215,17.2,-4.26,6.42
216,17.28,-4.33,6.44
217,17.36,-4.3,6.44
218,17.44,-4.4,6.55
219,17.52,-4.42,6.58
220,17.6,-4.41,6.56
221,17.68,-4.41,6.56
222,17.76,-4.65,6.74
223,17.84,-4.31,6.44
224,17.92,-4.31,6.43
225,18.0,-4.3,6.42
226,18.08,-4.31,6.43
227,18.16,-4.3,6.44
228,18.24,-4.28,6.43
229,18.32,-4.31,6.45
230,18.4,-4.3,6.44
231,18.48,-4.31,6.45
232,18.56,-4.31,6.43
233,18.64,-4.29,6.43
234,18.72,-4.31,6.43
235,18.8,-4.32,6.44
236,18.88,-4.3,6.44
237,18.96,-4.3,6.44
238,19.04,-4.32,6.44
239,19.12,-4.3,6.44
240,19.2,-4.32,6.44
241,19.28,-4.31,6.43
242,19.36,-4.28,6.43
243,19.44,-4.3,6.44
244,19.52,-4.31,6.44
245,19.6,-4.31,6.43
246,19.68,-4.29,6.43
247,19.76,-4.31,6.44
248,19.84,-4.31,6.45
249,19.92,-4.27,6.42
250,20.0,-4.28,6.43
251,20.08,-4.31,6.44
252,20.16,-4.28,6.41
253,20.24,-4.29,6.42
254,20.32,-4.3,6.44
255,20.4,-4.31,6.44
256,20.48,-4.34,6.45
257,20.56,-4.3,6.44
258,20.64,-4.3,6.44
259,20.72,-4.29,6.42
260,20.8,-4.3,6.42
261,20.88,-4.32,6.44
262,20.96,-4.3,6.43
263,21.04,-4.28,6.42
264,21.12,-4.3,6.43
265,21.2,-4.29,6.42
266,21.28,-4.32,6.44
267,21.36,-4.3,6.44
268,21.44,-4.32,6.44
269,21.52,-4.3,6.43
270,21.6,-4.29,6.42
271,21.68,-4.29,6.42
272,21.76,-4.3,6.44
273,21.84,-4.48,6.57
274,21.92,-4.31,6.45
275,22.0,-4.3,6.43
276,22.08,-4.31,6.44
277,22.16,-4.3,6.44
278,22.24,-4.29,6.44
279,22.32,-3.69,5.96
280,22.4,-3.69,5.94
281,22.48,-4.4,6.57
282,22.56,-4.41,6.57
283,22.64,-4.4,6.55
284,22.72,-4.4,6.56
285,22.8,-4.61,6.73
286,22.88,-4.406,6.57
287,22.96,-4.28,6.42
288,23.04,-4.29,6.43
289,23.12,-4.28,6.42
290,23.2,-4.29,6.43
291,23.28,-4.29,6.43
292,23.36,-4.28,6.42
293,23.44,-4.28,6.42
294,23.52,-4.31,6.44
295,23.6,-4.31,6.44
296,23.68,-4.28,6.43
297,23.76,-4.31,6.44
