,timestamp,x,y
0,0.0,-3.27478,1.42262
1,0.02,-3.2453,1.40098
2,0.04,-3.21964,1.37589
3,0.06,-3.19321,1.34925
4,0.08,-3.1663,1.32481
5,0.1,-3.14447,1.29102
6,0.12,-3.12154,1.26054
7,0.14,-3.10064,1.23232
8,0.16,-3.07275,1.21154
9,0.18,-3.04735,1.18832
10,0.2,-3.02408,1.16296
11,0.22,-2.99963,1.13645
12,0.24,-2.97435,1.11196
13,0.26,-2.94938,1.08849
14,0.28,-2.92468,1.06589
15,0.3,-2.89659,1.04683
16,0.32,-2.86614,1.02829
17,0.34,-2.83768,1.00871
18,0.36,-2.80983,0.98636
19,0.38,-2.78172,0.96335
20,0.4,-2.754,0.93776
21,0.42,-2.72659,0.91003
22,0.44,-2.69554,0.88748
23,0.46,-2.66636,0.86362
24,0.48,-2.63603,0.83768
25,0.5,-2.60852,0.81017
26,0.52,-2.57816,0.78583
27,0.54,-2.55119,0.76283
28,0.56,-2.53239,0.73156
29,0.58,-2.51309,0.69967
30,0.6,-2.49589,0.66646
31,0.62,-2.47442,0.63755
32,0.64,-2.45719,0.60904
33,0.66,-2.44428,0.57995
34,0.68,-2.4274,0.55655
35,0.7,-2.40925,0.53441
36,0.72,-2.39334,0.51071
37,0.74,-2.37434,0.48438
38,0.76,-2.35413,0.45964
39,0.78,-2.33258,0.43619
40,0.8,-2.31517,0.40963
41,0.82,-2.29695,0.38382
42,0.84,-2.27942,0.35603
43,0.86,-2.26243,0.32662
44,0.88,-2.2428,0.29838
45,0.9,-2.22301,0.26325
46,0.92,-2.2018,0.23119
47,0.94,-2.18113,0.19921
48,0.96,-2.1597,0.1664
49,0.98,-2.13898,0.13226
50,1.0,-2.11936,0.09787
51,1.02,-2.09772,0.0675
52,1.04,-2.07437,0.0406
53,1.06,-2.05283,0.0143
54,1.08,-2.02823,-0.01282
55,1.1,-2.00343,-0.03941
56,1.12,-1.97658,-0.06229
57,1.14,-1.95181,-0.08701
58,1.16,-1.9238,-0.10925
59,1.18,-1.89583,-0.13012
60,1.2,-1.86796,-0.14989
61,1.22,-1.84116,-0.1711
62,1.24,-1.81438,-0.19462
63,1.26,-1.78721,-0.21663
64,1.28,-1.76159,-0.23912
65,1.3,-1.73362,-0.26042
66,1.32,-1.70674,-0.283
67,1.34,-1.67778,-0.30309
68,1.36,-1.64824,-0.32481
