,timestamp,x,y
0,0.0,-3.29243,-2.5162
1,0.02,-3.27158,-2.49665
2,0.04,-3.24959,-2.47676
3,0.06,-3.22756,-2.45504
4,0.08,-3.20632,-2.43266
5,0.1,-3.18655,-2.41229
6,0.12,-3.16973,-2.38707
7,0.14,-3.15097,-2.36201
8,0.16,-3.13302,-2.33917
9,0.18,-3.11561,-2.31208
10,0.2,-3.10056,-2.28525
11,0.22,-3.08295,-2.25955
12,0.24,-3.06684,-2.23223
13,0.26,-3.05282,-2.2054
14,0.28,-3.03666,-2.17627
15,0.3,-3.0214,-2.15016
16,0.32,-3.00607,-2.1215
17,0.34,-2.99186,-2.09637
18,0.36,-2.97739,-2.06864
19,0.38,-2.96389,-2.04444
20,0.4,-2.95084,-2.01951
21,0.42,-2.93853,-1.99778
22,0.44,-2.92448,-1.97525
23,0.46,-2.91176,-1.9537
24,0.48,-2.89969,-1.93487
25,0.5,-2.88645,-1.91211
26,0.52,-2.87454,-1.88946
27,0.54,-2.86232,-1.86872
28,0.56,-2.85024,-1.85083
29,0.58,-2.83667,-1.83079
30,0.6,-2.82301,-1.80792
31,0.62,-2.81021,-1.78902
32,0.64,-2.79871,-1.7699
33,0.66,-2.78754,-1.75446
34,0.68,-2.77672,-1.74159
35,0.7,-2.76424,-1.72672
36,0.72,-2.75128,-1.71212
37,0.74,-2.73917,-1.69252
38,0.76,-2.72648,-1.67137
39,0.78,-2.71358,-1.65224
40,0.8,-2.70227,-1.6377
41,0.82,-2.68867,-1.61844
42,0.84,-2.67635,-1.5996
43,0.86,-2.66292,-1.57985
44,0.88,-2.64545,-1.55325
45,0.9,-2.62761,-1.52673
46,0.92,-2.60951,-1.50037
47,0.94,-2.60238,-1.49577
48,0.96,-2.58984,-1.48109
49,0.98,-2.57539,-1.46321
50,1.0,-2.55831,-1.44041
51,1.02,-2.54037,-1.41767
52,1.04,-2.52296,-1.39889
53,1.06,-2.50782,-1.38006
54,1.08,-2.49274,-1.36141
55,1.1,-2.47965,-1.34268
56,1.12,-2.46846,-1.32849
57,1.14,-2.45871,-1.31359
58,1.16,-2.45014,-1.29805
59,1.18,-2.44471,-1.28631
60,1.2,-2.40955,-1.22789
61,1.22,-2.40382,-1.21225
62,1.24,-2.39111,-1.18233
63,1.26,-2.38042,-1.15529
64,1.28,-2.37429,-1.13513
65,1.3,-2.36648,-1.11542
66,1.32,-2.35888,-1.09543
67,1.34,-2.34945,-1.07523
68,1.36,-2.34246,-1.05797
69,1.38,-2.33586,-1.04046
70,1.4,-2.32793,-1.0198
71,1.42,-2.32235,-0.99917
72,1.44,-2.31524,-0.97584
73,1.46,-2.30892,-0.95355
74,1.48,-2.30224,-0.93116
75,1.5,-2.29404,-0.90638
76,1.52,-2.28756,-0.88172
77,1.54,-2.28452,-0.8637
78,1.56,-2.28128,-0.84261
79,1.58,-2.27659,-0.82074
80,1.6,-2.27161,-0.7992
81,1.62,-2.26872,-0.7784
82,1.64,-2.26423,-0.75682
83,1.66,-2.26069,-0.73502
84,1.68,-2.25466,-0.71373
85,1.7,-2.25072,-0.69316
86,1.72,-2.24589,-0.66922
87,1.74,-2.24302,-0.65068
88,1.76,-2.23987,-0.63266
89,1.78,-2.23436,-0.60848
90,1.8,-2.23136,-0.59037
91,1.82,-2.22628,-0.5696
92,1.84,-2.21923,-0.54974
93,1.86,-2.21504,-0.53213
94,1.88,-2.2089,-0.5117
95,1.9,-2.20688,-0.49843
96,1.92,-2.205,-0.48219
97,1.94,-2.20346,-0.47017
98,1.96,-2.20132,-0.4575
99,1.98,-2.19815,-0.44395
100,2.0,-2.19109,-0.42065
101,2.02,-2.18501,-0.40234
102,2.04,-2.17951,-0.38153
103,2.06,-2.17484,-0.36012
104,2.08,-2.169,-0.3384
105,2.1,-2.16684,-0.3204
106,2.12,-2.16114,-0.29934
107,2.14,-2.16542,-0.29187
108,2.16,-2.15519,-0.27033
109,2.18,-2.1482,-0.25109
110,2.2,-2.1401,-0.22977
111,2.22,-2.13597,-0.21166
112,2.24,-2.13432,-0.19544
113,2.26,-2.13348,-0.18171
114,2.28,-2.13519,-0.16995
115,2.3,-2.13659,-0.15927
116,2.32,-2.13875,-0.14747
117,2.34,-2.14381,-0.13805
118,2.36,-2.147,-0.12393
119,2.38,-2.14984,-0.10823
120,2.4,-2.15255,-0.09359
121,2.42,-2.15674,-0.07727
122,2.44,-2.15897,-0.0605
123,2.46,-2.16229,-0.04409
124,2.48,-2.16699,-0.02971
125,2.5,-2.17094,-0.01282
126,2.52,-2.17467,0.00455
127,2.54,-2.17912,0.02144
128,2.56,-2.18465,0.03618
129,2.58,-2.18915,0.05334
130,2.6,-2.19654,0.06846
131,2.62,-2.20336,0.08411
132,2.64,-2.21027,0.09951
133,2.66,-2.21561,0.11628
134,2.68,-2.22239,0.13354
135,2.7,-2.2266,0.15095
136,2.72,-2.23138,0.16959
137,2.74,-2.23447,0.18741
138,2.76,-2.23691,0.20266
139,2.78,-2.23895,0.21848
140,2.8,-2.24093,0.23475
141,2.82,-2.24316,0.24789
142,2.84,-2.23508,0.25779
143,2.86,-2.23764,0.27182
144,2.88,-2.2404,0.28306
145,2.9,-2.24335,0.29192
146,2.92,-2.24277,0.3049
147,2.94,-2.24285,0.31539
148,2.96,-2.24261,0.32458
149,2.98,-2.24251,0.3337
150,3.0,-2.24313,0.34099
151,3.02,-2.24219,0.35025
152,3.04,-2.24435,0.35429
153,3.06,-2.2423,0.36257
154,3.08,-2.24354,0.36591
155,3.1,-2.24391,0.37118
156,3.12,-2.24163,0.37808
157,3.14,-2.23897,0.38654
158,3.16,-2.23473,0.39444
159,3.18,-2.23141,0.40298
160,3.2,-2.22517,0.4136
161,3.22,-2.21987,0.42174
162,3.24,-2.21393,0.43212
163,3.26,-2.20901,0.44004
164,3.28,-2.20254,0.44929
165,3.3,-2.19467,0.45873
166,3.32,-2.19012,0.46595
167,3.34,-2.18564,0.47196
168,3.36,-2.18184,0.47978
169,3.38,-2.1778,0.48631
170,3.4,-2.17474,0.49098
