,timestamp,x,y
0,0.0,-3.13702,2.54311
1,0.02,-3.13624,2.54321
2,0.04,-3.13566,2.54332
3,0.06,-3.13525,2.54342
4,0.08,-3.13709,2.54035
5,0.1,-3.13666,2.54089
6,0.12,-3.13634,2.5414
7,0.14,-3.1342,2.54185
8,0.16,-3.1345,2.53909
9,0.18,-3.13483,2.53673
10,0.2,-3.13517,2.53475
11,0.22,-3.13342,2.5363
12,0.24,-3.13196,2.53771
13,0.26,-3.13076,2.53899
14,0.28,-3.1298,2.54011
15,0.3,-3.13114,2.53793
16,0.32,-3.13028,2.53922
17,0.34,-3.1296,2.54036
18,0.36,-3.12907,2.54134
19,0.38,-3.12868,2.54218
20,0.4,-3.1284,2.54288
21,0.42,-3.12822,2.54346
22,0.44,-3.12811,2.54392
23,0.46,-3.13154,2.53946
24,0.48,-3.13106,2.54041
25,0.5,-3.12857,2.54442
26,0.52,-3.12853,2.54471
27,0.54,-3.12852,2.54491
28,0.56,-3.12855,2.54504
29,0.58,-3.1286,2.54511
30,0.6,-3.13059,2.54516
31,0.62,-3.13232,2.54517
32,0.64,-3.13172,2.54832
33,0.66,-3.13326,2.54782
34,0.68,-3.13248,2.55051
35,0.7,-3.13387,2.54959
36,0.72,-3.13504,2.54873
37,0.74,-3.13601,2.54793
38,0.76,-3.1368,2.5472
39,0.78,-3.13742,2.54656
40,0.8,-3.13791,2.54598
41,0.82,-3.13826,2.54549
42,0.84,-3.14044,2.54509
43,0.86,-3.14016,2.54793
44,0.88,-3.13847,2.55204
45,0.9,-3.14042,2.55071
46,0.92,-3.14206,2.54949
47,0.94,-3.14341,2.54841
48,0.96,-3.1445,2.54745
49,0.98,-3.14432,2.54719
50,1.0,-3.14408,2.54698
51,1.02,-3.1438,2.5468
52,1.04,-3.1435,2.54665
53,1.06,-3.14319,2.54653
54,1.08,-3.14079,2.54961
55,1.1,-3.1387,2.55226
56,1.12,-3.13899,2.55134
57,1.14,-3.13927,2.55049
58,1.16,-3.13744,2.55289
59,1.18,-3.1378,2.55495
60,1.2,-3.13832,2.55347
61,1.22,-3.13879,2.55213
62,1.24,-3.14478,2.54294
63,1.26,-3.14525,2.54363
64,1.28,-3.14663,2.54372
65,1.3,-3.14775,2.54388
66,1.32,-3.14654,2.54724
67,1.34,-3.14752,2.54702
68,1.36,-3.14621,2.55
69,1.38,-3.14712,2.5494
70,1.4,-3.14576,2.55203
71,1.42,-3.14699,2.55003
72,1.44,-3.14558,2.5525
73,1.46,-3.14434,2.5546
74,1.48,-3.14535,2.5532
75,1.5,-3.14623,2.55192
76,1.52,-3.14907,2.54761
77,1.54,-3.14938,2.54706
78,1.56,-3.15416,2.53922
79,1.58,-3.15576,2.53676
80,1.6,-3.15896,2.53479
81,1.62,-3.16057,2.53383
82,1.64,-3.16496,2.52941
83,1.66,-3.16859,2.52576
84,1.68,-3.17152,2.5228
85,1.7,-3.17597,2.5173
86,1.72,-3.17956,2.51281
87,1.74,-3.17889,2.51399
88,1.76,-3.17805,2.51531
89,1.78,-3.17812,2.5161
90,1.8,-3.17697,2.51756
91,1.82,-3.17896,2.51523
92,1.84,-3.18053,2.51336
93,1.86,-3.18173,2.51189
94,1.88,-3.18261,2.51079
95,1.9,-3.18322,2.51
96,1.92,-3.1836,2.50947
97,1.94,-3.18379,2.50916
98,1.96,-3.18383,2.50903
99,1.98,-3.18375,2.50904
100,2.0,-3.1857,2.50597
101,2.02,-3.18729,2.50344
102,2.04,-3.18765,2.50079
103,2.06,-3.18681,2.49923
104,2.08,-3.18915,2.49429
105,2.1,-3.18894,2.49339
106,2.12,-3.18867,2.49283
107,2.14,-3.19047,2.48935
108,2.16,-3.19195,2.48654
109,2.18,-3.19118,2.4843
110,2.2,-3.19589,2.47783
111,2.22,-3.1944,2.47725
112,2.24,-3.19298,2.47703
113,2.26,-3.19168,2.47709
114,2.28,-3.1905,2.47736
115,2.3,-3.18944,2.4778
116,2.32,-3.1885,2.47834
117,2.34,-3.18769,2.47896
118,2.36,-3.187,2.47961
119,2.38,-3.18448,2.48026
120,2.4,-3.18234,2.4809
121,2.42,-3.18055,2.48151
122,2.44,-3.17908,2.48209
123,2.46,-3.17791,2.48263
124,2.48,-3.17699,2.48312
125,2.5,-3.17527,2.48413
126,2.52,-3.17492,2.48444
127,2.54,-3.17279,2.48467
128,2.56,-3.17106,2.48487
129,2.58,-3.16969,2.48503
130,2.6,-3.16864,2.48515
131,2.62,-3.16683,2.48583
132,2.64,-3.1654,2.4864
133,2.66,-3.16431,2.48687
134,2.68,-3.16895,2.48247
135,2.7,-3.16235,2.4904
136,2.72,-3.16237,2.48925
137,2.74,-3.16097,2.49302
138,2.76,-3.15794,2.49617
139,2.78,-3.15741,2.49882
140,2.8,-3.15866,2.49616
141,2.82,-3.16182,2.49376
142,2.84,-3.16113,2.4964
143,2.86,-3.16198,2.49701
144,2.88,-3.16277,2.49746
145,2.9,-3.16561,2.49459
